node_id,name,job,birthday
0,Odessa Satmary,Shoe Coverer,1973-12-20
1,Huong Kalp,Mixer Helper,1962-01-02
2,Gianna Alan,Foreign Clerk,1965-06-12
3,Yu Koshi,Clipper,1947-05-16
4,Brittani Longhofer,Shaper And Presser,1974-08-05
5,Claudine Rombach,Glass-Wool-Blanket-Machine Feeder,1990-08-11
6,Juliet Allford,"Supervisor, Quilting",1976-10-17
7,Ida Bakerville,Central-Office Installer,1987-06-20
8,Lisha Franken,Motorcycle Repairer,1997-10-26
9,Albertine Bobak,"Supervisor, Cleaning",1957-03-04
10,Dawn Jekot,Field Representative,1945-04-19
11,Karol Giantonio,Barrel Filler,1967-09-07
12,Dulcie Miyares,Needle-Loom Tender,1983-12-07
13,Audie Layman,Lawyer,1942-03-17
14,Dominica Ahr,Material Assembler,1985-06-16
15,Adrienne Molinere,Cupola Tender,1981-01-17
16,Khadijah Cregeen,"Sales Representative, Animal-Feed Products",1956-01-14
17,Hyun Alberda,Dovetail-Machine Operator,1995-07-20
18,Arnetta Hultquist,Doughnut-Machine Operator,1975-03-30
19,Elenor Heeralall,Toy Assembler,1950-04-22
20,Roxy Priddy,Assembly Operator,1958-07-15
21,Versie Munivez,"Special Procedures Technologist, Cardiac Catheterization",1944-06-19
22,Elly Glosser,"Catalyst Operator, Gasoline",1975-08-05
23,Karyn Gallerani,Typesetter-Perforator Operator,1996-09-15
24,Julienne Confair,Chemical-Radiation Technician,1980-08-20
25,Elfrieda Witherington,Mill-And-Coal-Transport Operator,1995-10-30
26,Allie Sourlis,Station Installer-And-Repairer,1946-01-08
27,Ranee Gouge,Modeler,1998-04-05
28,Nickie Kivioja,Sheet-Metal Worker,1959-09-08
29,Rosanna Mclyman,Wood Hacker,1958-12-08
30,Maribeth Vauter,Harness Cleaner,1987-12-22
31,Lashawna Guichard,Mold Laminator,1976-09-02
32,Sunshine Lastella,Oven Dauber,1959-11-13
33,Leida Reddekopp,Switch Tender,1998-07-14
34,Margery Schlett,Trade Marker,1994-10-11
35,Ivory Bocskor,Tag-Machine Operator,1969-03-20
